id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
157,01694.wav,01694_augmented_pch_msk.wav,4.3467,4.3467,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
158,01757.wav,01757_augmented_spd_nse.wav,16.176,17.7842,True,0.9096,False,True,False,AugmentationType.SPEED|NOISE
159,01757.wav,01757_augmented_pch_msk.wav,16.176,16.176,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
160,01765.wav,01765_augmented_spd_nse.wav,7.6135,7.8051,True,0.9755,False,True,False,AugmentationType.SPEED|NOISE
161,01765.wav,01765_augmented_pch_msk.wav,7.6135,7.6135,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
162,01812.wav,01812_augmented_spd_nse.wav,6.1082,5.5927,True,1.0922,False,True,False,AugmentationType.SPEED|NOISE
163,01812.wav,01812_augmented_pch_msk.wav,6.1082,6.1082,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
164,01846.wav,01846_augmented_spd_nse.wav,7.238,7.0776,True,1.0227,False,False,False,AugmentationType.SPEED|NOISE
165,01846.wav,01846_augmented_pch_msk.wav,7.238,7.238,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
166,01851.wav,01851_augmented_spd_nse.wav,17.6694,16.5651,True,1.0667,False,True,False,AugmentationType.SPEED|NOISE
167,01851.wav,01851_augmented_pch_msk.wav,17.6694,17.6694,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
168,01898.wav,01898_augmented_spd_nse.wav,17.5734,16.8013,True,1.046,False,True,False,AugmentationType.SPEED|NOISE
169,01898.wav,01898_augmented_pch_msk.wav,17.5734,17.5734,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
170,01993.wav,01993_augmented_spd_nse.wav,11.2694,10.4618,True,1.0772,False,False,False,AugmentationType.SPEED|NOISE
171,01993.wav,01993_augmented_pch_msk.wav,11.2694,11.2694,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
172,02000.wav,02000_augmented_spd_nse.wav,18.1087,18.4675,True,0.9806,False,False,False,AugmentationType.SPEED|NOISE
173,02000.wav,02000_augmented_pch_msk.wav,18.1087,18.1087,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
174,02033.wav,02033_augmented_spd_nse.wav,17.1467,18.5373,True,0.925,False,True,False,AugmentationType.SPEED|NOISE
175,02033.wav,02033_augmented_pch_msk.wav,17.1467,17.1467,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
